MicrotypeID,ActivityID,DensityKmSq,TripPurposeID
B_1,childcare,1.11589,other
B_2,childcare,0.45682,other
B_4,childcare,0.06529,other
A_5,childcare,0.04257,other
A_2,childcare,0.58872,other
A_3,childcare,0.18809,other
A_1,childcare,2.19872,other
A_4,childcare,0.11312,other
A_6,childcare,0.00404,other
E_2,childcare,0.44236,other
E_1,childcare,0.95022,other
D_1,childcare,1.03548,other
F_2,creditunion,0.06692,other
F_5,creditunion,0.00037,other
F_6,creditunion,0.00004,other
C_5,creditunion,0.00321,other
C_3,creditunion,0.01341,other
C_4,creditunion,0.00763,other
C_6,creditunion,0.00035,other
D_6,creditunion,0.00019,other
D_5,creditunion,0.00209,other
D_3,creditunion,0.01216,other
E_6,creditunion,0.00013,other
C_2,creditunion,0.12560,other
F_4,creditunion,0.01555,other
F_3,creditunion,0.01178,other
E_5,creditunion,0.00191,other
D_2,creditunion,0.08728,other
D_4,creditunion,0.00339,other
F_1,creditunion,0.47877,other
E_4,creditunion,0.00793,other
E_3,creditunion,0.01498,other
C_1,creditunion,0.89089,other
B_6,creditunion,0.00053,other
B_3,creditunion,0.04322,other
B_5,creditunion,0.00491,other
B_1,creditunion,0.45584,other
B_2,creditunion,0.12715,other
B_4,creditunion,0.02604,other
A_5,creditunion,0.00875,other
A_2,creditunion,0.11742,other
A_3,creditunion,0.06812,other
A_1,creditunion,0.38859,other
A_4,creditunion,0.02806,other
A_6,creditunion,0.00153,other
E_2,creditunion,0.19573,other
E_1,creditunion,0.37613,other
D_1,creditunion,0.35502,other
F_2,urgentcare,0.03346,medical
F_5,urgentcare,0.00012,medical
F_6,urgentcare,0.00001,medical
C_5,urgentcare,0.00053,medical
C_3,urgentcare,0.00199,medical
C_4,urgentcare,0.00166,medical
C_6,urgentcare,0.00004,medical
D_6,urgentcare,0.00001,medical
D_5,urgentcare,0.00038,medical
D_3,urgentcare,0.00180,medical
E_6,urgentcare,0.00001,medical
C_2,urgentcare,0.02052,medical
F_4,urgentcare,0.00225,medical
F_3,urgentcare,0.00308,medical
E_5,urgentcare,0.00034,medical
D_2,urgentcare,0.01847,medical
D_4,urgentcare,0.00046,medical
F_1,urgentcare,0.04953,medical
E_4,urgentcare,0.00295,medical
E_3,urgentcare,0.00272,medical
C_1,urgentcare,0.04866,medical
B_6,urgentcare,0.00004,medical
B_3,urgentcare,0.00533,medical
B_5,urgentcare,0.00064,medical
B_1,urgentcare,0.03399,medical
B_2,urgentcare,0.02111,medical
B_4,urgentcare,0.00307,medical
A_5,urgentcare,0.00145,medical
A_2,urgentcare,0.02130,medical
A_3,urgentcare,0.01038,medical
A_1,urgentcare,0.04688,medical
A_4,urgentcare,0.00413,medical
A_6,urgentcare,0.00016,medical
E_2,urgentcare,0.02194,medical
E_1,urgentcare,0.01980,medical
D_1,urgentcare,0.02959,medical
F_2,snap,1.02111,other
F_5,snap,0.00520,other
F_6,snap,0.00081,other
C_5,snap,0.03217,other
C_3,snap,0.08307,other
C_4,snap,0.05097,other
C_6,snap,0.00552,other
D_6,snap,0.00293,other
D_5,snap,0.02000,other
D_3,snap,0.08373,other
E_6,snap,0.00171,other
C_2,snap,0.80657,other
F_4,snap,0.08625,other
F_3,snap,0.10662,other
E_5,snap,0.01893,other
D_2,snap,0.71348,other
D_4,snap,0.01769,other
F_1,snap,2.64151,other
E_4,snap,0.06256,other
E_3,snap,0.08998,other
C_1,snap,2.30208,other
B_6,snap,0.00538,other
B_3,snap,0.19092,other
B_5,snap,0.03531,other
B_1,snap,3.02311,other
B_2,snap,0.85644,other
B_4,snap,0.08981,other
A_5,snap,0.06185,other
A_2,snap,0.99150,other
A_3,snap,0.35386,other
A_1,snap,5.37524,other
A_4,snap,0.14514,other
A_6,snap,0.01046,other
E_2,snap,0.88911,other
E_1,snap,2.29635,other
D_1,snap,2.21889,other
F_2,schools,0.34721,school
F_5,schools,0.00204,school
F_6,schools,0.00086,school
C_5,schools,0.01292,school
C_3,schools,0.02540,school
C_4,schools,0.01884,school
C_6,schools,0.00353,school
D_6,schools,0.00231,school
D_5,schools,0.00894,school
D_3,schools,0.02743,school
E_6,schools,0.00158,school
C_2,schools,0.28337,school
F_4,schools,0.02474,school
F_3,schools,0.02919,school
E_5,schools,0.00900,school
D_2,schools,0.23396,school
D_4,schools,0.00886,school
F_1,schools,0.56132,school
E_4,schools,0.02380,school
E_3,schools,0.03373,school
C_1,schools,0.66255,school
B_6,schools,0.00439,school
B_3,schools,0.06953,school
B_5,schools,0.01950,school
B_1,schools,0.82219,school
B_2,schools,0.36346,school
B_4,schools,0.04759,school
A_5,schools,0.03671,school
A_2,schools,0.43826,school
A_3,schools,0.14424,school
A_1,schools,1.38361,school
A_4,schools,0.07870,school
A_6,schools,0.00741,school
E_2,schools,0.30632,school
E_1,schools,0.63348,school
D_1,schools,0.56212,school
F_2,pharm,0.30403,medical
F_5,pharm,0.00162,medical
F_6,pharm,0.00019,medical
C_5,pharm,0.00904,medical
C_3,pharm,0.02327,medical
C_4,pharm,0.01756,medical
C_6,pharm,0.00093,medical
D_6,pharm,0.00060,medical
D_5,pharm,0.00658,medical
D_3,pharm,0.02605,medical
E_6,pharm,0.00034,medical
C_2,pharm,0.24336,medical
F_4,pharm,0.03755,medical
F_3,pharm,0.03228,medical
E_5,pharm,0.00542,medical
D_2,pharm,0.27018,medical
D_4,pharm,0.00688,medical
F_1,pharm,0.72642,medical
E_4,pharm,0.02270,medical
E_3,pharm,0.02734,medical
C_1,pharm,0.69998,medical
B_6,pharm,0.00085,medical
B_3,pharm,0.05517,medical
B_5,pharm,0.01024,medical
B_1,pharm,0.61703,medical
B_2,pharm,0.24552,medical
B_4,pharm,0.03542,medical
A_5,pharm,0.02352,medical
A_2,pharm,0.36458,medical
A_3,pharm,0.12993,medical
A_1,pharm,1.60538,medical
A_4,pharm,0.06667,medical
A_6,pharm,0.00227,medical
E_2,pharm,0.24488,medical
E_1,pharm,0.61368,medical
D_1,pharm,0.44378,medical
