MicrotypeID,Population,PopulationGroupID
D_1,21256,HighIncVeh
D_1,4534,LowIncVehSenior
D_1,17489,LowIncVeh
D_1,3301,HighIncVehSenior
F_4,7079,LowIncNoVehSenior
F_3,5789,HighIncNoVeh
F_5,6079,HighIncNoVeh
F_1,4704,HighIncVehSenior
F_1,1934,HighIncNoVeh
F_4,320,HighIncNoVehSenior
F_4,7957,HighIncNoVeh
B_1,72086,HighIncNoVeh
B_1,1607,HighIncNoVehSenior
A_4,132741,LowIncNoVeh
C_3,2455,HighIncNoVehSenior
E_4,63802,LowIncVeh
E_5,3772,LowIncNoVehSenior
B_6,10752,HighIncNoVeh
D_2,1013,LowIncNoVehSenior
A_4,550,HighIncNoVehSenior
E_6,1382,LowIncNoVeh
C_6,4199,HighIncNoVeh
E_2,33428,LowIncNoVeh
E_3,19095,LowIncNoVeh
D_4,284,LowIncNoVeh
D_2,73,HighIncNoVehSenior
E_4,3408,LowIncNoVeh
E_4,143,HighIncNoVehSenior
D_5,250,HighIncNoVeh
E_1,8045,LowIncVehSenior
E_1,22909,LowIncVeh
E_1,125132,HighIncVeh
F_3,213,HighIncNoVehSenior
F_2,790,HighIncNoVeh
F_1,178,HighIncNoVehSenior
C_6,406,HighIncNoVehSenior
A_6,84,LowIncNoVehSenior
