PopulationGroupTypeID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaTravelTimeMixed,BetaWaitTime,BetaAccessTime,BetaWaitTime_Pooled,BetaAccessTime_Pooled,BetaWaitTime_Pooled_EW,BetaAccessTime_Pooled_EW
HighIncVeh,work,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,work,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,work,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,work,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,work,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,work,auto,-3.281,-0.091,-0.027,-0.026,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,work,auto,0.0,-0.091,-0.027,-0.026,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,work,auto,-3.281,-0.127,-0.067,-0.015,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,work,auto,0.0,-0.127,-0.067,-0.015,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,work,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,work,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,work,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,work,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,work,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,work,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,work,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,work,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,work,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,work,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,work,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,work,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,work,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,work,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,work,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,work,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,work,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,work,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,work,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,work,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,home,auto,-3.281,-0.091,-0.027,-0.026,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,home,auto,0.0,-0.091,-0.027,-0.026,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,home,auto,-3.281,-0.127,-0.067,-0.015,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,home,auto,0.0,-0.127,-0.067,-0.015,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,home,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,home,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,home,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,home,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,home,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,home,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,home,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,home,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,home,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,home,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,home,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,home,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,home,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,home,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,home,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,home,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,home,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,home,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,home,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,home,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,home,auto,-3.281,-0.091,-0.027,-0.026,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,home,auto,0.0,-0.091,-0.027,-0.026,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,home,auto,-3.281,-0.127,-0.067,-0.015,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,home,auto,0.0,-0.127,-0.067,-0.015,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,home,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,home,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,home,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,home,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,home,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,home,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,home,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,home,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,home,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,home,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,home,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,home,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,home,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,home,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,home,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,home,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,home,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,home,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,home,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,home,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,leisure,auto,-3.281,-0.091,-0.027,-0.026,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,leisure,auto,0.0,-0.091,-0.027,-0.026,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,leisure,auto,-3.281,-0.127,-0.067,-0.015,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,leisure,auto,0.0,-0.127,-0.067,-0.015,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,leisure,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,leisure,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,leisure,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,leisure,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,leisure,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,leisure,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,leisure,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,leisure,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,leisure,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,leisure,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
